"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Área colhida (Hectares)"
"maio 2015","Brasil","1.15 Soja","31862391"
"junho 2015","Brasil","1.15 Soja","31889040"
"julho 2015","Brasil","1.15 Soja","31983351"
"agosto 2015","Brasil","1.15 Soja","31999045"
"setembro 2015","Brasil","1.15 Soja","32058260"
"outubro 2015","Brasil","1.15 Soja","32072011"
"novembro 2015","Brasil","1.15 Soja","32073034"
"dezembro 2015","Brasil","1.15 Soja","32113131"
"janeiro 2016","Brasil","1.15 Soja","32956417"
"fevereiro 2016","Brasil","1.15 Soja","32981504"
"março 2016","Brasil","1.15 Soja","33103125"
"abril 2016","Brasil","1.15 Soja","33026266"
"maio 2016","Brasil","1.15 Soja","32979041"
"junho 2016","Brasil","1.15 Soja","33021828"
"julho 2016","Brasil","1.15 Soja","33054665"
"agosto 2016","Brasil","1.15 Soja","33069479"
"setembro 2016","Brasil","1.15 Soja","33070473"
"outubro 2016","Brasil","1.15 Soja","33073248"
"novembro 2016","Brasil","1.15 Soja","33073108"
"dezembro 2016","Brasil","1.15 Soja","33092376"
"janeiro 2017","Brasil","1.15 Soja","33708401"
"fevereiro 2017","Brasil","1.15 Soja","33771298"
"março 2017","Brasil","1.15 Soja","33933867"
"abril 2017","Brasil","1.15 Soja","33924514"
"maio 2017","Brasil","1.15 Soja","33818380"
"junho 2017","Brasil","1.15 Soja","33873025"
"julho 2017","Brasil","1.15 Soja","33868428"
"agosto 2017","Brasil","1.15 Soja","33897301"
"setembro 2017","Brasil","1.15 Soja","33899090"
"outubro 2017","Brasil","1.15 Soja","33887509"
"novembro 2017","Brasil","1.15 Soja","33888286"
"dezembro 2017","Brasil","1.15 Soja","33897554"
"janeiro 2018","Brasil","1.15 Soja","34561420"
"fevereiro 2018","Brasil","1.15 Soja","34733001"
"março 2018","Brasil","1.15 Soja","34773225"
"abril 2018","Brasil","1.15 Soja","34781302"
"maio 2018","Brasil","1.15 Soja","34767415"
"junho 2018","Brasil","1.15 Soja","34765926"
"julho 2018","Brasil","1.15 Soja","34753316"
"agosto 2018","Brasil","1.15 Soja","34791299"
"setembro 2018","Brasil","1.15 Soja","34820828"
"outubro 2018","Brasil","1.15 Soja","34831665"
"novembro 2018","Brasil","1.15 Soja","34910006"
"dezembro 2018","Brasil","1.15 Soja","34880868"
"janeiro 2019","Brasil","1.15 Soja","35581176"
"fevereiro 2019","Brasil","1.15 Soja","35490542"
"março 2019","Brasil","1.15 Soja","35564525"
"abril 2019","Brasil","1.15 Soja","35579447"
"maio 2019","Brasil","1.15 Soja","35605440"
"junho 2019","Brasil","1.15 Soja","35657852"
"julho 2019","Brasil","1.15 Soja","35649852"
"agosto 2019","Brasil","1.15 Soja","35669932"
"setembro 2019","Brasil","1.15 Soja","35692858"
"outubro 2019","Brasil","1.15 Soja","35748015"
"novembro 2019","Brasil","1.15 Soja","35783747"
"dezembro 2019","Brasil","1.15 Soja","35805184"
"janeiro 2020","Brasil","1.15 Soja","36673584"
"fevereiro 2020","Brasil","1.15 Soja","36729602"
"março 2020","Brasil","1.15 Soja","36674961"
"abril 2020","Brasil","1.15 Soja","36717576"
"maio 2020","Brasil","1.15 Soja","36856112"
"junho 2020","Brasil","1.15 Soja","36839601"
"julho 2020","Brasil","1.15 Soja","36922660"
"agosto 2020","Brasil","1.15 Soja","37053669"
"Fonte: IBGE - Levantamento Sistemático da Produção Agrícola"

"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Mês","","Produto das lavouras",""
"setembro 2006","Brasil","1.15 Soja","52381672"
"outubro 2006","Brasil","1.15 Soja","52356720"
"novembro 2006","Brasil","1.15 Soja","52223579"
"dezembro 2006","Brasil","1.15 Soja","52234589"
"janeiro 2007","Brasil","1.15 Soja","56395247"
"fevereiro 2007","Brasil","1.15 Soja","56699617"
"março 2007","Brasil","1.15 Soja","56865475"
"abril 2007","Brasil","1.15 Soja","57171294"
"maio 2007","Brasil","1.15 Soja","58490235"
"junho 2007","Brasil","1.15 Soja","58263978"
"julho 2007","Brasil","1.15 Soja","58227761"
"agosto 2007","Brasil","1.15 Soja","58238071"
"setembro 2007","Brasil","1.15 Soja","58257945"
"outubro 2007","Brasil","1.15 Soja","58255667"
"novembro 2007","Brasil","1.15 Soja","58197297"
"dezembro 2007","Brasil","1.15 Soja","58189494"
"janeiro 2008","Brasil","1.15 Soja","58270003"
"fevereiro 2008","Brasil","1.15 Soja","59581364"
"março 2008","Brasil","1.15 Soja","59944144"
"abril 2008","Brasil","1.15 Soja","59457662"
"maio 2008","Brasil","1.15 Soja","59841925"
"junho 2008","Brasil","1.15 Soja","59807588"
"julho 2008","Brasil","1.15 Soja","60022331"
"agosto 2008","Brasil","1.15 Soja","59995301"
"setembro 2008","Brasil","1.15 Soja","59925421"
"outubro 2008","Brasil","1.15 Soja","59923621"
"novembro 2008","Brasil","1.15 Soja","59920262"
"dezembro 2008","Brasil","1.15 Soja","59920262"
"janeiro 2009","Brasil","1.15 Soja","57776642"
"fevereiro 2009","Brasil","1.15 Soja","57593978"
"março 2009","Brasil","1.15 Soja","58471633"
"abril 2009","Brasil","1.15 Soja","57591757"
"maio 2009","Brasil","1.15 Soja","57195834"
"junho 2009","Brasil","1.15 Soja","56851505"
