"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1985","Amazonas","Área colhida (Hectares)","13"
"1985","Roraima","Produção vegetal (Toneladas)","21"
"1985","Roraima","Área colhida (Hectares)","45"
"1985","Pará","Produção vegetal (Toneladas)","326"
"1985","Pará","Área colhida (Hectares)","397"
"1985","Amapá","Produção vegetal (Toneladas)","-"
"1985","Amapá","Área colhida (Hectares)","-"
"1985","Tocantins","Produção vegetal (Toneladas)","30034"
"1985","Tocantins","Área colhida (Hectares)","27140"
"1985","Maranhão","Produção vegetal (Toneladas)","8089"
"1985","Maranhão","Área colhida (Hectares)","7169"
"1985","Piauí","Produção vegetal (Toneladas)","142"
"1985","Piauí","Área colhida (Hectares)","221"
"1985","Ceará","Produção vegetal (Toneladas)","18"
"1985","Ceará","Área colhida (Hectares)","50"
"1985","Rio Grande do Norte","Produção vegetal (Toneladas)","-"
"1985","Rio Grande do Norte","Área colhida (Hectares)","-"
"1985","Paraíba","Produção vegetal (Toneladas)","119"
"1985","Paraíba","Área colhida (Hectares)","169"
"1985","Pernambuco","Produção vegetal (Toneladas)","326"
"1985","Pernambuco","Área colhida (Hectares)","457"
"1985","Alagoas","Produção vegetal (Toneladas)","107"
"1985","Alagoas","Área colhida (Hectares)","279"
"1985","Sergipe","Produção vegetal (Toneladas)","20"
"1985","Sergipe","Área colhida (Hectares)","24"
"1985","Bahia","Produção vegetal (Toneladas)","60343"
"1985","Bahia","Área colhida (Hectares)","51832"
"1985","Minas Gerais","Produção vegetal (Toneladas)","638558"
"1985","Minas Gerais","Área colhida (Hectares)","362730"
"1985","Espírito Santo","Produção vegetal (Toneladas)","209"
"1985","Espírito Santo","Área colhida (Hectares)","275"
"1985","Rio de Janeiro","Produção vegetal (Toneladas)","18"
"1985","Rio de Janeiro","Área colhida (Hectares)","40"
"1985","São Paulo","Produção vegetal (Toneladas)","952196"
"1985","São Paulo","Área colhida (Hectares)","470057"
"1985","Paraná","Produção vegetal (Toneladas)","4161322"
"1985","Paraná","Área colhida (Hectares)","2079973"
"1985","Santa Catarina","Produção vegetal (Toneladas)","519730"
"1985","Santa Catarina","Área colhida (Hectares)","403530"
"1985","Rio Grande do Sul","Produção vegetal (Toneladas)","5710859"
"1985","Rio Grande do Sul","Área colhida (Hectares)","3611032"
"1985","Mato Grosso do Sul","Produção vegetal (Toneladas)","1811881"
"1985","Mato Grosso do Sul","Área colhida (Hectares)","958568"
"1985","Mato Grosso","Produção vegetal (Toneladas)","1610530"
"1985","Mato Grosso","Área colhida (Hectares)","822821"
"1985","Goiás","Produção vegetal (Toneladas)","1157704"
"1985","Goiás","Área colhida (Hectares)","599555"
"1985","Distrito Federal","Produção vegetal (Toneladas)","66254"
"1985","Distrito Federal","Área colhida (Hectares)","37055"
"1995","Rondônia","Produção vegetal (Toneladas)","1504"
"1995","Rondônia","Área colhida (Hectares)","744"
"1995","Acre","Produção vegetal (Toneladas)","14"
"1995","Acre","Área colhida (Hectares)","12"
"1995","Amazonas","Produção vegetal (Toneladas)","27"
"1995","Amazonas","Área colhida (Hectares)","51"
"1995","Roraima","Produção vegetal (Toneladas)","669"
"1995","Roraima","Área colhida (Hectares)","573"
"1995","Pará","Produção vegetal (Toneladas)","221"
"1995","Pará","Área colhida (Hectares)","190"
"1995","Amapá","Produção vegetal (Toneladas)","-"
"1995","Amapá","Área colhida (Hectares)","7041"
"1995","Tocantins","Produção vegetal (Toneladas)","14097"
"1995","Tocantins","Área colhida (Hectares)","-"
"1995","Maranhão","Produção vegetal (Toneladas)","135123"
"1995","Maranhão","Área colhida (Hectares)","62326"
"1995","Piauí","Produção vegetal (Toneladas)","20293"
"1995","Piauí","Área colhida (Hectares)","8635"
"1995","Ceará","Produção vegetal (Toneladas)","61"
"1995","Ceará","Área colhida (Hectares)","30"
"1995","Rio Grande do Norte","Produção vegetal (Toneladas)","3"
"1995","Rio Grande do Norte","Área colhida (Hectares)","7"
"1995","Paraíba","Produção vegetal (Toneladas)","79"
"1995","Paraíba","Área colhida (Hectares)","171"
"1995","Pernambuco","Produção vegetal (Toneladas)","199"
"1995","Pernambuco","Área colhida (Hectares)","100"
"1995","Alagoas","Produção vegetal (Toneladas)","88"
"1995","Alagoas","Área colhida (Hectares)","49"
"1995","Sergipe","Produção vegetal (Toneladas)","83"
"1995","Sergipe","Área colhida (Hectares)","67"
"1995","Bahia","Produção vegetal (Toneladas)","721320"
"1995","Bahia","Área colhida (Hectares)","355101"
"1995","Minas Gerais","Produção vegetal (Toneladas)","864894"
"1995","Minas Gerais","Área colhida (Hectares)","442943"
"1995","Espírito Santo","Produção vegetal (Toneladas)","7"
"1995","Espírito Santo","Área colhida (Hectares)","13"
"1995","Rio de Janeiro","Produção vegetal (Toneladas)","2"
"1995","Rio de Janeiro","Área colhida (Hectares)","1"
"1995","São Paulo","Produção vegetal (Toneladas)","850480"
"1995","São Paulo","Área colhida (Hectares)","396615"
"1995","Paraná","Produção vegetal (Toneladas)","6046293"
"1995","Paraná","Área colhida (Hectares)","2259401"
"1995","Santa Catarina","Produção vegetal (Toneladas)","408861"
"1995","Santa Catarina","Área colhida (Hectares)","167680"
"1995","Rio Grande do Sul","Produção vegetal (Toneladas)","4253171"
"1995","Rio Grande do Sul","Área colhida (Hectares)","2403615"
"1995","Mato Grosso do Sul","Produção vegetal (Toneladas)","1796994"
"1995","Mato Grosso do Sul","Área colhida (Hectares)","746168"
"1995","Mato Grosso","Produção vegetal (Toneladas)","4438946"
"1995","Mato Grosso","Área colhida (Hectares)","1740392"
"1995","Goiás","Produção vegetal (Toneladas)","1960112"
"1995","Goiás","Área colhida (Hectares)","863422"
"1995","Distrito Federal","Produção vegetal (Toneladas)","50228"
"1995","Distrito Federal","Área colhida (Hectares)","24544"
"2006","Rondônia","Produção vegetal (Toneladas)","150567"
"2006","Rondônia","Área colhida (Hectares)","50952"
"2006","Acre","Produção vegetal (Toneladas)","325"
"2006","Acre","Área colhida (Hectares)","124"
"2006","Amazonas","Produção vegetal (Toneladas)","0"
"2006","Amazonas","Área colhida (Hectares)","0"
"2006","Roraima","Produção vegetal (Toneladas)","11005"
"2006","Roraima","Área colhida (Hectares)","4013"
"2006","Pará","Produção vegetal (Toneladas)","58635"
"2006","Pará","Área colhida (Hectares)","18292"
"2006","Amapá","Produção vegetal (Toneladas)","128"
"2006","Amapá","Área colhida (Hectares)","71"
"2006","Tocantins","Produção vegetal (Toneladas)","546525"
"2006","Tocantins","Área colhida (Hectares)","224487"
"2006","Maranhão","Produção vegetal (Toneladas)","786174"
"2006","Maranhão","Área colhida (Hectares)","296254"
"2006","Piauí","Produção vegetal (Toneladas)","577705"
"2006","Piauí","Área colhida (Hectares)","221279"
"2006","Ceará","Produção vegetal (Toneladas)","1396"
"2006","Ceará","Área colhida (Hectares)","587"
"2006","Rio Grande do Norte","Produção vegetal (Toneladas)","16"
"2006","Rio Grande do Norte","Área colhida (Hectares)","35"
"2006","Paraíba","Produção vegetal (Toneladas)","0"
"2006","Paraíba","Área colhida (Hectares)","1"
"2006","Pernambuco","Produção vegetal (Toneladas)","67"
"2006","Pernambuco","Área colhida (Hectares)","96"
"2006","Alagoas","Produção vegetal (Toneladas)","616"
"2006","Alagoas","Área colhida (Hectares)","229"
"2006","Sergipe","Produção vegetal (Toneladas)","0"
"2006","Sergipe","Área colhida (Hectares)","0"
"2006","Bahia","Produção vegetal (Toneladas)","2348832"
"2006","Bahia","Área colhida (Hectares)","906970"
"2006","Minas Gerais","Produção vegetal (Toneladas)","2022563"
"2006","Minas Gerais","Área colhida (Hectares)","770986"
"2006","Espírito Santo","Produção vegetal (Toneladas)","0"
"2006","Espírito Santo","Área colhida (Hectares)","0"
"2006","Rio de Janeiro","Produção vegetal (Toneladas)","20"
"2006","Rio de Janeiro","Área colhida (Hectares)","10"
"2006","São Paulo","Produção vegetal (Toneladas)","1024988"
"2006","São Paulo","Área colhida (Hectares)","395284"
"2006","Paraná","Produção vegetal (Toneladas)","8763847"
"2006","Paraná","Área colhida (Hectares)","3494758"
"2006","Santa Catarina","Produção vegetal (Toneladas)","726474"
"2006","Santa Catarina","Área colhida (Hectares)","273999"
"2006","Rio Grande do Sul","Produção vegetal (Toneladas)","7929789"
"2006","Rio Grande do Sul","Área colhida (Hectares)","3494503"
"2006","Mato Grosso do Sul","Produção vegetal (Toneladas)","3872197"
"2006","Mato Grosso do Sul","Área colhida (Hectares)","1464397"
"2006","Mato Grosso","Produção vegetal (Toneladas)","11747265"
"2006","Mato Grosso","Área colhida (Hectares)","4186477"
"2006","Goiás","Produção vegetal (Toneladas)","5514272"
"2006","Goiás","Área colhida (Hectares)","2037566"
"2006","Distrito Federal","Produção vegetal (Toneladas)","112436"
"2006","Distrito Federal","Área colhida (Hectares)","41948"
