"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1995","Sudeste","Produção vegetal (Toneladas)","1715383"
"1995","Sudeste","Área colhida (Hectares)","839572"
"1995","Sul","Produção vegetal (Toneladas)","10708325"
"1995","Sul","Área colhida (Hectares)","4830695"
"1995","Centro-Oeste","Produção vegetal (Toneladas)","8246280"
"1995","Centro-Oeste","Área colhida (Hectares)","3374526"
"2006","Brasil","Produção vegetal (Toneladas)","46195842"
"2006","Brasil","Área colhida (Hectares)","17883318"
"2006","Norte","Produção vegetal (Toneladas)","767185"
"2006","Norte","Área colhida (Hectares)","297939"
"2006","Nordeste","Produção vegetal (Toneladas)","3714806"
"2006","Nordeste","Área colhida (Hectares)","1425451"
"2006","Sudeste","Produção vegetal (Toneladas)","3047571"
"2006","Sudeste","Área colhida (Hectares)","1166280"
"2006","Sul","Produção vegetal (Toneladas)","17420110"
"2006","Sul","Área colhida (Hectares)","7263260"
"2006","Centro-Oeste","Produção vegetal (Toneladas)","21246170"
"2006","Centro-Oeste","Área colhida (Hectares)","7730388"
"1920","Rondônia","Produção vegetal (Toneladas)","..."
"1920","Rondônia","Área colhida (Hectares)","..."
"1920","Acre","Produção vegetal (Toneladas)","..."
"1920","Acre","Área colhida (Hectares)","..."
"1920","Amazonas","Produção vegetal (Toneladas)","..."
"1920","Amazonas","Área colhida (Hectares)","..."
"1920","Roraima","Produção vegetal (Toneladas)","..."
"1920","Roraima","Área colhida (Hectares)","..."
"1920","Pará","Produção vegetal (Toneladas)","..."
"1920","Pará","Área colhida (Hectares)","..."
"1920","Amapá","Produção vegetal (Toneladas)","..."
"1920","Amapá","Área colhida (Hectares)","..."
"1920","Tocantins","Produção vegetal (Toneladas)","..."
"1920","Tocantins","Área colhida (Hectares)","..."
"1920","Maranhão","Produção vegetal (Toneladas)","..."
"1920","Maranhão","Área colhida (Hectares)","..."
"1920","Piauí","Produção vegetal (Toneladas)","..."
"1920","Piauí","Área colhida (Hectares)","..."
"1920","Ceará","Produção vegetal (Toneladas)","..."
"1920","Ceará","Área colhida (Hectares)","..."
"1920","Rio Grande do Norte","Produção vegetal (Toneladas)","..."
"1920","Rio Grande do Norte","Área colhida (Hectares)","..."
"1920","Paraíba","Produção vegetal (Toneladas)","..."
"1920","Paraíba","Área colhida (Hectares)","..."
"1920","Pernambuco","Produção vegetal (Toneladas)","..."
"1920","Pernambuco","Área colhida (Hectares)","..."
"1920","Alagoas","Produção vegetal (Toneladas)","..."
"1920","Alagoas","Área colhida (Hectares)","..."
"1920","Sergipe","Produção vegetal (Toneladas)","..."
"1920","Sergipe","Área colhida (Hectares)","..."
"1920","Bahia","Produção vegetal (Toneladas)","..."
"1920","Bahia","Área colhida (Hectares)","..."
"1920","Minas Gerais","Produção vegetal (Toneladas)","..."
"1920","Minas Gerais","Área colhida (Hectares)","..."
"1920","Espírito Santo","Produção vegetal (Toneladas)","..."
"1920","Espírito Santo","Área colhida (Hectares)","..."
"1920","Rio de Janeiro","Produção vegetal (Toneladas)","..."
"1920","Rio de Janeiro","Área colhida (Hectares)","..."
