"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","region","Variável","Valor"
"outubro 2007","Goiás","Área colhida (Hectares)","2165470"
"outubro 2007","Goiás","Produção (Toneladas)","6016373"
"outubro 2007","Distrito Federal","Área colhida (Hectares)","51807"
"outubro 2007","Distrito Federal","Produção (Toneladas)","140501"
"novembro 2007","Rondônia","Área colhida (Hectares)","88890"
"novembro 2007","Rondônia","Produção (Toneladas)","265869"
"novembro 2007","Acre","Área colhida (Hectares)","-"
"novembro 2007","Acre","Produção (Toneladas)","-"
"novembro 2007","Amazonas","Área colhida (Hectares)","-"
"novembro 2007","Amazonas","Produção (Toneladas)","-"
"novembro 2007","Roraima","Área colhida (Hectares)","-"
"novembro 2007","Roraima","Produção (Toneladas)","-"
"novembro 2007","Pará","Área colhida (Hectares)","53528"
"novembro 2007","Pará","Produção (Toneladas)","153943"
"novembro 2007","Amapá","Área colhida (Hectares)","-"
"novembro 2007","Amapá","Produção (Toneladas)","-"
"novembro 2007","Tocantins","Área colhida (Hectares)","278996"
"novembro 2007","Tocantins","Produção (Toneladas)","665392"
"novembro 2007","Maranhão","Área colhida (Hectares)","384474"
"novembro 2007","Maranhão","Produção (Toneladas)","1125054"
"novembro 2007","Piauí","Área colhida (Hectares)","216006"
"novembro 2007","Piauí","Produção (Toneladas)","484378"
"novembro 2007","Ceará","Área colhida (Hectares)","-"
"novembro 2007","Ceará","Produção (Toneladas)","-"
"novembro 2007","Rio Grande do Norte","Área colhida (Hectares)","-"
"novembro 2007","Rio Grande do Norte","Produção (Toneladas)","-"
"novembro 2007","Paraíba","Área colhida (Hectares)","-"
"novembro 2007","Paraíba","Produção (Toneladas)","-"
"novembro 2007","Pernambuco","Área colhida (Hectares)","-"
"novembro 2007","Pernambuco","Produção (Toneladas)","-"
"novembro 2007","Alagoas","Área colhida (Hectares)","-"
"novembro 2007","Alagoas","Produção (Toneladas)","-"
"novembro 2007","Sergipe","Área colhida (Hectares)","-"
"novembro 2007","Sergipe","Produção (Toneladas)","-"
"novembro 2007","Bahia","Área colhida (Hectares)","851000"
"novembro 2007","Bahia","Produção (Toneladas)","2298000"
"novembro 2007","Minas Gerais","Área colhida (Hectares)","882692"
"novembro 2007","Minas Gerais","Produção (Toneladas)","2417485"
"novembro 2007","Espírito Santo","Área colhida (Hectares)","-"
"novembro 2007","Espírito Santo","Produção (Toneladas)","-"
"novembro 2007","Rio de Janeiro","Área colhida (Hectares)","-"
"novembro 2007","Rio de Janeiro","Produção (Toneladas)","-"
"novembro 2007","São Paulo","Área colhida (Hectares)","525300"
"novembro 2007","São Paulo","Produção (Toneladas)","1428800"
"novembro 2007","Paraná","Área colhida (Hectares)","4009396"
"novembro 2007","Paraná","Produção (Toneladas)","11881834"
"novembro 2007","Santa Catarina","Área colhida (Hectares)","386466"
"novembro 2007","Santa Catarina","Produção (Toneladas)","1114398"
"novembro 2007","Rio Grande do Sul","Área colhida (Hectares)","3890583"
"novembro 2007","Rio Grande do Sul","Produção (Toneladas)","9938817"
"novembro 2007","Mato Grosso do Sul","Área colhida (Hectares)","1718031"
"novembro 2007","Mato Grosso do Sul","Produção (Toneladas)","4846031"
"novembro 2007","Mato Grosso","Área colhida (Hectares)","5131235"
"novembro 2007","Mato Grosso","Produção (Toneladas)","15493051"
"novembro 2007","Goiás","Área colhida (Hectares)","2168440"
"novembro 2007","Goiás","Produção (Toneladas)","5941525"
"novembro 2007","Distrito Federal","Área colhida (Hectares)","52606"
"novembro 2007","Distrito Federal","Produção (Toneladas)","142720"
"dezembro 2007","Rondônia","Área colhida (Hectares)","88890"
"dezembro 2007","Rondônia","Produção (Toneladas)","259069"
"dezembro 2007","Acre","Área colhida (Hectares)","-"
"dezembro 2007","Acre","Produção (Toneladas)","-"
"dezembro 2007","Amazonas","Área colhida (Hectares)","-"
"dezembro 2007","Amazonas","Produção (Toneladas)","-"
"dezembro 2007","Roraima","Área colhida (Hectares)","-"
"dezembro 2007","Roraima","Produção (Toneladas)","-"
"dezembro 2007","Pará","Área colhida (Hectares)","53528"
"dezembro 2007","Pará","Produção (Toneladas)","153943"
"dezembro 2007","Amapá","Área colhida (Hectares)","-"
"dezembro 2007","Amapá","Produção (Toneladas)","-"
"dezembro 2007","Tocantins","Área colhida (Hectares)","278996"
"dezembro 2007","Tocantins","Produção (Toneladas)","665392"
"dezembro 2007","Maranhão","Área colhida (Hectares)","384474"
"dezembro 2007","Maranhão","Produção (Toneladas)","1125054"
"dezembro 2007","Piauí","Área colhida (Hectares)","217006"
"dezembro 2007","Piauí","Produção (Toneladas)","484940"
"dezembro 2007","Ceará","Área colhida (Hectares)","-"
"dezembro 2007","Ceará","Produção (Toneladas)","-"
"dezembro 2007","Rio Grande do Norte","Área colhida (Hectares)","-"
"dezembro 2007","Rio Grande do Norte","Produção (Toneladas)","-"
"dezembro 2007","Paraíba","Área colhida (Hectares)","-"
"dezembro 2007","Paraíba","Produção (Toneladas)","-"
"dezembro 2007","Pernambuco","Área colhida (Hectares)","-"
"dezembro 2007","Pernambuco","Produção (Toneladas)","-"
"dezembro 2007","Alagoas","Área colhida (Hectares)","-"
"dezembro 2007","Alagoas","Produção (Toneladas)","-"
"dezembro 2007","Sergipe","Área colhida (Hectares)","-"
"dezembro 2007","Sergipe","Produção (Toneladas)","-"
"dezembro 2007","Bahia","Área colhida (Hectares)","851000"
"dezembro 2007","Bahia","Produção (Toneladas)","2298000"
"dezembro 2007","Minas Gerais","Área colhida (Hectares)","886082"
"dezembro 2007","Minas Gerais","Produção (Toneladas)","2418861"
"dezembro 2007","Espírito Santo","Área colhida (Hectares)","-"
"dezembro 2007","Espírito Santo","Produção (Toneladas)","-"
"dezembro 2007","Rio de Janeiro","Área colhida (Hectares)","-"
"dezembro 2007","Rio de Janeiro","Produção (Toneladas)","-"
"dezembro 2007","São Paulo","Área colhida (Hectares)","525300"
"dezembro 2007","São Paulo","Produção (Toneladas)","1428800"
"dezembro 2007","Paraná","Área colhida (Hectares)","4009396"
"dezembro 2007","Paraná","Produção (Toneladas)","11881834"
"dezembro 2007","Santa Catarina","Área colhida (Hectares)","385496"
"dezembro 2007","Santa Catarina","Produção (Toneladas)","1111457"
"dezembro 2007","Rio Grande do Sul","Área colhida (Hectares)","3890583"
"dezembro 2007","Rio Grande do Sul","Produção (Toneladas)","9938817"
"dezembro 2007","Mato Grosso do Sul","Área colhida (Hectares)","1718031"
"dezembro 2007","Mato Grosso do Sul","Produção (Toneladas)","4846031"
"dezembro 2007","Mato Grosso","Área colhida (Hectares)","5131235"
"dezembro 2007","Mato Grosso","Produção (Toneladas)","15493051"
"dezembro 2007","Goiás","Área colhida (Hectares)","2168440"
"dezembro 2007","Goiás","Produção (Toneladas)","5941525"
"dezembro 2007","Distrito Federal","Área colhida (Hectares)","52606"
"dezembro 2007","Distrito Federal","Produção (Toneladas)","142720"
"janeiro 2008","Rondônia","Área colhida (Hectares)","98030"
"janeiro 2008","Rondônia","Produção (Toneladas)","298686"
"janeiro 2008","Acre","Área colhida (Hectares)","-"
"janeiro 2008","Acre","Produção (Toneladas)","-"
"janeiro 2008","Amazonas","Área colhida (Hectares)","-"
"janeiro 2008","Amazonas","Produção (Toneladas)","-"
"janeiro 2008","Roraima","Área colhida (Hectares)","-"
"janeiro 2008","Roraima","Produção (Toneladas)","-"
"janeiro 2008","Pará","Área colhida (Hectares)","52000"
"janeiro 2008","Pará","Produção (Toneladas)","156000"
"janeiro 2008","Amapá","Área colhida (Hectares)","-"
"janeiro 2008","Amapá","Produção (Toneladas)","-"
"janeiro 2008","Tocantins","Área colhida (Hectares)","299855"
"janeiro 2008","Tocantins","Produção (Toneladas)","720049"
"janeiro 2008","Maranhão","Área colhida (Hectares)","388748"
"janeiro 2008","Maranhão","Produção (Toneladas)","1139691"
"janeiro 2008","Piauí","Área colhida (Hectares)","227785"
"janeiro 2008","Piauí","Produção (Toneladas)","661525"
"janeiro 2008","Ceará","Área colhida (Hectares)","-"
"janeiro 2008","Ceará","Produção (Toneladas)","-"
"janeiro 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"janeiro 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"janeiro 2008","Paraíba","Área colhida (Hectares)","-"
"janeiro 2008","Paraíba","Produção (Toneladas)","-"
"janeiro 2008","Pernambuco","Área colhida (Hectares)","-"
"janeiro 2008","Pernambuco","Produção (Toneladas)","-"
"janeiro 2008","Alagoas","Área colhida (Hectares)","-"
"janeiro 2008","Alagoas","Produção (Toneladas)","-"
"janeiro 2008","Sergipe","Área colhida (Hectares)","-"
"janeiro 2008","Sergipe","Produção (Toneladas)","-"
"janeiro 2008","Bahia","Área colhida (Hectares)","911000"
"janeiro 2008","Bahia","Produção (Toneladas)","2460000"
"janeiro 2008","Minas Gerais","Área colhida (Hectares)","906264"
"janeiro 2008","Minas Gerais","Produção (Toneladas)","2552768"
"janeiro 2008","Espírito Santo","Área colhida (Hectares)","-"
"janeiro 2008","Espírito Santo","Produção (Toneladas)","-"
"janeiro 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"janeiro 2008","Rio de Janeiro","Produção (Toneladas)","-"
"janeiro 2008","São Paulo","Área colhida (Hectares)","565300"
"janeiro 2008","São Paulo","Produção (Toneladas)","1498045"
"janeiro 2008","Paraná","Área colhida (Hectares)","3910692"
"janeiro 2008","Paraná","Produção (Toneladas)","11879890"
"janeiro 2008","Santa Catarina","Área colhida (Hectares)","372775"
"janeiro 2008","Santa Catarina","Produção (Toneladas)","1086346"
"janeiro 2008","Rio Grande do Sul","Área colhida (Hectares)","3816500"
"janeiro 2008","Rio Grande do Sul","Produção (Toneladas)","8205475"
"janeiro 2008","Mato Grosso do Sul","Área colhida (Hectares)","1730000"
"janeiro 2008","Mato Grosso do Sul","Produção (Toneladas)","4844000"
"janeiro 2008","Mato Grosso","Área colhida (Hectares)","5441172"
"janeiro 2008","Mato Grosso","Produção (Toneladas)","16462149"
"janeiro 2008","Goiás","Área colhida (Hectares)","2130680"
"janeiro 2008","Goiás","Produção (Toneladas)","6144179"
"janeiro 2008","Distrito Federal","Área colhida (Hectares)","52000"
"janeiro 2008","Distrito Federal","Produção (Toneladas)","161200"
"fevereiro 2008","Rondônia","Área colhida (Hectares)","98030"
"fevereiro 2008","Rondônia","Produção (Toneladas)","298686"
"fevereiro 2008","Acre","Área colhida (Hectares)","-"
"fevereiro 2008","Acre","Produção (Toneladas)","-"
"fevereiro 2008","Amazonas","Área colhida (Hectares)","-"
"fevereiro 2008","Amazonas","Produção (Toneladas)","-"
"fevereiro 2008","Roraima","Área colhida (Hectares)","-"
"fevereiro 2008","Roraima","Produção (Toneladas)","-"
"fevereiro 2008","Pará","Área colhida (Hectares)","52000"
"fevereiro 2008","Pará","Produção (Toneladas)","156000"
"fevereiro 2008","Amapá","Área colhida (Hectares)","-"
"fevereiro 2008","Amapá","Produção (Toneladas)","-"
"fevereiro 2008","Tocantins","Área colhida (Hectares)","299855"
"fevereiro 2008","Tocantins","Produção (Toneladas)","720049"
"fevereiro 2008","Maranhão","Área colhida (Hectares)","388748"
"fevereiro 2008","Maranhão","Produção (Toneladas)","1139691"
"fevereiro 2008","Piauí","Área colhida (Hectares)","227785"
"fevereiro 2008","Piauí","Produção (Toneladas)","661525"
"fevereiro 2008","Ceará","Área colhida (Hectares)","-"
"fevereiro 2008","Ceará","Produção (Toneladas)","-"
"fevereiro 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"fevereiro 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"fevereiro 2008","Paraíba","Área colhida (Hectares)","-"
"fevereiro 2008","Paraíba","Produção (Toneladas)","-"
"fevereiro 2008","Pernambuco","Área colhida (Hectares)","-"
"fevereiro 2008","Pernambuco","Produção (Toneladas)","-"
"fevereiro 2008","Alagoas","Área colhida (Hectares)","-"
"fevereiro 2008","Alagoas","Produção (Toneladas)","-"
"fevereiro 2008","Sergipe","Área colhida (Hectares)","-"
"fevereiro 2008","Sergipe","Produção (Toneladas)","-"
"fevereiro 2008","Bahia","Área colhida (Hectares)","901000"
"fevereiro 2008","Bahia","Produção (Toneladas)","2433000"
"fevereiro 2008","Minas Gerais","Área colhida (Hectares)","894783"
"fevereiro 2008","Minas Gerais","Produção (Toneladas)","2530883"
"fevereiro 2008","Espírito Santo","Área colhida (Hectares)","-"
"fevereiro 2008","Espírito Santo","Produção (Toneladas)","-"
"fevereiro 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"fevereiro 2008","Rio de Janeiro","Produção (Toneladas)","-"
"fevereiro 2008","São Paulo","Área colhida (Hectares)","526000"
"fevereiro 2008","São Paulo","Produção (Toneladas)","1437000"
"fevereiro 2008","Paraná","Área colhida (Hectares)","3925952"
"fevereiro 2008","Paraná","Produção (Toneladas)","12007566"
"fevereiro 2008","Santa Catarina","Área colhida (Hectares)","372775"
"fevereiro 2008","Santa Catarina","Produção (Toneladas)","1086346"
"fevereiro 2008","Rio Grande do Sul","Área colhida (Hectares)","3816500"
"fevereiro 2008","Rio Grande do Sul","Produção (Toneladas)","8205475"
"fevereiro 2008","Mato Grosso do Sul","Área colhida (Hectares)","1719474"
"fevereiro 2008","Mato Grosso do Sul","Produção (Toneladas)","4900501"
"fevereiro 2008","Mato Grosso","Área colhida (Hectares)","5609703"
"fevereiro 2008","Mato Grosso","Produção (Toneladas)","17699263"
"fevereiro 2008","Goiás","Área colhida (Hectares)","2130680"
"fevereiro 2008","Goiás","Produção (Toneladas)","6144179"
"fevereiro 2008","Distrito Federal","Área colhida (Hectares)","52000"
"fevereiro 2008","Distrito Federal","Produção (Toneladas)","161200"
"março 2008","Rondônia","Área colhida (Hectares)","98030"
"março 2008","Rondônia","Produção (Toneladas)","298686"
"março 2008","Acre","Área colhida (Hectares)","-"
"março 2008","Acre","Produção (Toneladas)","-"
"março 2008","Amazonas","Área colhida (Hectares)","-"
"março 2008","Amazonas","Produção (Toneladas)","-"
"março 2008","Roraima","Área colhida (Hectares)","-"
"março 2008","Roraima","Produção (Toneladas)","-"
"março 2008","Pará","Área colhida (Hectares)","57275"
"março 2008","Pará","Produção (Toneladas)","164969"
"março 2008","Amapá","Área colhida (Hectares)","-"
"março 2008","Amapá","Produção (Toneladas)","-"
"março 2008","Tocantins","Área colhida (Hectares)","322212"
"março 2008","Tocantins","Produção (Toneladas)","886920"
"março 2008","Maranhão","Área colhida (Hectares)","417811"
"março 2008","Maranhão","Produção (Toneladas)","1221291"
"março 2008","Piauí","Área colhida (Hectares)","250859"
"março 2008","Piauí","Produção (Toneladas)","748104"
"março 2008","Ceará","Área colhida (Hectares)","-"
"março 2008","Ceará","Produção (Toneladas)","-"
"março 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"março 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"março 2008","Paraíba","Área colhida (Hectares)","-"
"março 2008","Paraíba","Produção (Toneladas)","-"
"março 2008","Pernambuco","Área colhida (Hectares)","-"
"março 2008","Pernambuco","Produção (Toneladas)","-"
"março 2008","Alagoas","Área colhida (Hectares)","-"
"março 2008","Alagoas","Produção (Toneladas)","-"
"março 2008","Sergipe","Área colhida (Hectares)","-"
"março 2008","Sergipe","Produção (Toneladas)","-"
"março 2008","Bahia","Área colhida (Hectares)","901000"
"março 2008","Bahia","Produção (Toneladas)","2432700"
"março 2008","Minas Gerais","Área colhida (Hectares)","858642"
"março 2008","Minas Gerais","Produção (Toneladas)","2477514"
"março 2008","Espírito Santo","Área colhida (Hectares)","-"
"março 2008","Espírito Santo","Produção (Toneladas)","-"
"março 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"março 2008","Rio de Janeiro","Produção (Toneladas)","-"
"março 2008","São Paulo","Área colhida (Hectares)","526000"
"março 2008","São Paulo","Produção (Toneladas)","1446500"
"março 2008","Paraná","Área colhida (Hectares)","3932189"
"março 2008","Paraná","Produção (Toneladas)","11894693"
"março 2008","Santa Catarina","Área colhida (Hectares)","369638"
"março 2008","Santa Catarina","Produção (Toneladas)","1047924"
"março 2008","Rio Grande do Sul","Área colhida (Hectares)","3831200"
"março 2008","Rio Grande do Sul","Produção (Toneladas)","8122144"
"março 2008","Mato Grosso do Sul","Área colhida (Hectares)","1719474"
"março 2008","Mato Grosso do Sul","Produção (Toneladas)","4900501"
"março 2008","Mato Grosso","Área colhida (Hectares)","5609703"
"março 2008","Mato Grosso","Produção (Toneladas)","17699263"
"março 2008","Goiás","Área colhida (Hectares)","2170972"
"março 2008","Goiás","Produção (Toneladas)","6449979"
"março 2008","Distrito Federal","Área colhida (Hectares)","48712"
"março 2008","Distrito Federal","Produção (Toneladas)","152956"
"abril 2008","Rondônia","Área colhida (Hectares)","99786"
"abril 2008","Rondônia","Produção (Toneladas)","318528"
"abril 2008","Acre","Área colhida (Hectares)","-"
"abril 2008","Acre","Produção (Toneladas)","-"
"abril 2008","Amazonas","Área colhida (Hectares)","-"
"abril 2008","Amazonas","Produção (Toneladas)","-"
"abril 2008","Roraima","Área colhida (Hectares)","-"
"abril 2008","Roraima","Produção (Toneladas)","-"
"abril 2008","Pará","Área colhida (Hectares)","57275"
"abril 2008","Pará","Produção (Toneladas)","164969"
"abril 2008","Amapá","Área colhida (Hectares)","-"
"abril 2008","Amapá","Produção (Toneladas)","-"
"abril 2008","Tocantins","Área colhida (Hectares)","322212"
"abril 2008","Tocantins","Produção (Toneladas)","886920"
"abril 2008","Maranhão","Área colhida (Hectares)","417811"
"abril 2008","Maranhão","Produção (Toneladas)","1221291"
"abril 2008","Piauí","Área colhida (Hectares)","250859"
"abril 2008","Piauí","Produção (Toneladas)","742793"
"abril 2008","Ceará","Área colhida (Hectares)","-"
"abril 2008","Ceará","Produção (Toneladas)","-"
"abril 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"abril 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"abril 2008","Paraíba","Área colhida (Hectares)","-"
"abril 2008","Paraíba","Produção (Toneladas)","-"
"abril 2008","Pernambuco","Área colhida (Hectares)","-"
"abril 2008","Pernambuco","Produção (Toneladas)","-"
"abril 2008","Alagoas","Área colhida (Hectares)","-"
"abril 2008","Alagoas","Produção (Toneladas)","-"
"abril 2008","Sergipe","Área colhida (Hectares)","-"
"abril 2008","Sergipe","Produção (Toneladas)","-"
"abril 2008","Bahia","Área colhida (Hectares)","901400"
"abril 2008","Bahia","Produção (Toneladas)","2433750"
"abril 2008","Minas Gerais","Área colhida (Hectares)","863907"
"abril 2008","Minas Gerais","Produção (Toneladas)","2500896"
"abril 2008","Espírito Santo","Área colhida (Hectares)","-"
"abril 2008","Espírito Santo","Produção (Toneladas)","-"
"abril 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"abril 2008","Rio de Janeiro","Produção (Toneladas)","-"
"abril 2008","São Paulo","Área colhida (Hectares)","526000"
"abril 2008","São Paulo","Produção (Toneladas)","1446500"
"abril 2008","Paraná","Área colhida (Hectares)","3939063"
"abril 2008","Paraná","Produção (Toneladas)","11829817"
"abril 2008","Santa Catarina","Área colhida (Hectares)","372500"
"abril 2008","Santa Catarina","Produção (Toneladas)","1024375"
"abril 2008","Rio Grande do Sul","Área colhida (Hectares)","3831200"
"abril 2008","Rio Grande do Sul","Produção (Toneladas)","7815648"
"abril 2008","Mato Grosso do Sul","Área colhida (Hectares)","1730386"
"abril 2008","Mato Grosso do Sul","Produção (Toneladas)","4609264"
"abril 2008","Mato Grosso","Área colhida (Hectares)","5656949"
"abril 2008","Mato Grosso","Produção (Toneladas)","17737789"
"abril 2008","Goiás","Área colhida (Hectares)","2179000"
"abril 2008","Goiás","Produção (Toneladas)","6571679"
"abril 2008","Distrito Federal","Área colhida (Hectares)","48712"
"abril 2008","Distrito Federal","Produção (Toneladas)","153443"
"maio 2008","Rondônia","Área colhida (Hectares)","99206"
"maio 2008","Rondônia","Produção (Toneladas)","311502"
"maio 2008","Acre","Área colhida (Hectares)","-"
"maio 2008","Acre","Produção (Toneladas)","-"
"maio 2008","Amazonas","Área colhida (Hectares)","-"
"maio 2008","Amazonas","Produção (Toneladas)","-"
"maio 2008","Roraima","Área colhida (Hectares)","-"
"maio 2008","Roraima","Produção (Toneladas)","-"
"maio 2008","Pará","Área colhida (Hectares)","57245"
"maio 2008","Pará","Produção (Toneladas)","170063"
"maio 2008","Amapá","Área colhida (Hectares)","-"
"maio 2008","Amapá","Produção (Toneladas)","-"
"maio 2008","Tocantins","Área colhida (Hectares)","334392"
"maio 2008","Tocantins","Produção (Toneladas)","881771"
"maio 2008","Maranhão","Área colhida (Hectares)","417971"
"maio 2008","Maranhão","Produção (Toneladas)","1228587"
"maio 2008","Piauí","Área colhida (Hectares)","253566"
"maio 2008","Piauí","Produção (Toneladas)","795768"
"maio 2008","Ceará","Área colhida (Hectares)","-"
"maio 2008","Ceará","Produção (Toneladas)","-"
"maio 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"maio 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"maio 2008","Paraíba","Área colhida (Hectares)","-"
"maio 2008","Paraíba","Produção (Toneladas)","-"
"maio 2008","Pernambuco","Área colhida (Hectares)","-"
"maio 2008","Pernambuco","Produção (Toneladas)","-"
"maio 2008","Alagoas","Área colhida (Hectares)","-"
"maio 2008","Alagoas","Produção (Toneladas)","-"
"maio 2008","Sergipe","Área colhida (Hectares)","-"
"maio 2008","Sergipe","Produção (Toneladas)","-"
"maio 2008","Bahia","Área colhida (Hectares)","905018"
"maio 2008","Bahia","Produção (Toneladas)","2747634"
"maio 2008","Minas Gerais","Área colhida (Hectares)","861312"
"maio 2008","Minas Gerais","Produção (Toneladas)","2521849"
"maio 2008","Espírito Santo","Área colhida (Hectares)","-"
"maio 2008","Espírito Santo","Produção (Toneladas)","-"
"maio 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"maio 2008","Rio de Janeiro","Produção (Toneladas)","-"
"maio 2008","São Paulo","Área colhida (Hectares)","526000"
"maio 2008","São Paulo","Produção (Toneladas)","1470170"
"maio 2008","Paraná","Área colhida (Hectares)","3938853"
"maio 2008","Paraná","Produção (Toneladas)","11911090"
"maio 2008","Santa Catarina","Área colhida (Hectares)","372500"
"maio 2008","Santa Catarina","Produção (Toneladas)","955000"
"maio 2008","Rio Grande do Sul","Área colhida (Hectares)","3831000"
"maio 2008","Rio Grande do Sul","Produção (Toneladas)","7776316"
"maio 2008","Mato Grosso do Sul","Área colhida (Hectares)","1730386"
"maio 2008","Mato Grosso do Sul","Produção (Toneladas)","4609264"
"maio 2008","Mato Grosso","Área colhida (Hectares)","5656949"
"maio 2008","Mato Grosso","Produção (Toneladas)","17737789"
"maio 2008","Goiás","Área colhida (Hectares)","2179000"
"maio 2008","Goiás","Produção (Toneladas)","6571679"
"maio 2008","Distrito Federal","Área colhida (Hectares)","48712"
"maio 2008","Distrito Federal","Produção (Toneladas)","153443"
"junho 2008","Rondônia","Área colhida (Hectares)","99206"
"junho 2008","Rondônia","Produção (Toneladas)","311502"
"junho 2008","Acre","Área colhida (Hectares)","-"
"junho 2008","Acre","Produção (Toneladas)","-"
"junho 2008","Amazonas","Área colhida (Hectares)","-"
"junho 2008","Amazonas","Produção (Toneladas)","-"
"junho 2008","Roraima","Área colhida (Hectares)","-"
"junho 2008","Roraima","Produção (Toneladas)","-"
"junho 2008","Pará","Área colhida (Hectares)","57245"
"junho 2008","Pará","Produção (Toneladas)","170063"
"junho 2008","Amapá","Área colhida (Hectares)","-"
"junho 2008","Amapá","Produção (Toneladas)","-"
"junho 2008","Tocantins","Área colhida (Hectares)","334392"
"junho 2008","Tocantins","Produção (Toneladas)","881771"
"junho 2008","Maranhão","Área colhida (Hectares)","421161"
"junho 2008","Maranhão","Produção (Toneladas)","1258269"
"junho 2008","Piauí","Área colhida (Hectares)","253566"
"junho 2008","Piauí","Produção (Toneladas)","828300"
"junho 2008","Ceará","Área colhida (Hectares)","-"
"junho 2008","Ceará","Produção (Toneladas)","-"
"junho 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"junho 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"junho 2008","Paraíba","Área colhida (Hectares)","-"
"junho 2008","Paraíba","Produção (Toneladas)","-"
"junho 2008","Pernambuco","Área colhida (Hectares)","-"
"junho 2008","Pernambuco","Produção (Toneladas)","-"
"junho 2008","Alagoas","Área colhida (Hectares)","-"
"junho 2008","Alagoas","Produção (Toneladas)","-"
"junho 2008","Sergipe","Área colhida (Hectares)","-"
"junho 2008","Sergipe","Produção (Toneladas)","-"
"junho 2008","Bahia","Área colhida (Hectares)","905018"
"junho 2008","Bahia","Produção (Toneladas)","2747634"
"junho 2008","Minas Gerais","Área colhida (Hectares)","864182"
"junho 2008","Minas Gerais","Produção (Toneladas)","2531046"
"junho 2008","Espírito Santo","Área colhida (Hectares)","-"
"junho 2008","Espírito Santo","Produção (Toneladas)","-"
"junho 2008","Rio de Janeiro","Área colhida (Hectares)","-"
"junho 2008","Rio de Janeiro","Produção (Toneladas)","-"
"junho 2008","São Paulo","Área colhida (Hectares)","526000"
"junho 2008","São Paulo","Produção (Toneladas)","1470170"
"junho 2008","Paraná","Área colhida (Hectares)","3938853"
"junho 2008","Paraná","Produção (Toneladas)","11911090"
"junho 2008","Santa Catarina","Área colhida (Hectares)","372000"
"junho 2008","Santa Catarina","Produção (Toneladas)","918840"
"junho 2008","Rio Grande do Sul","Área colhida (Hectares)","3831000"
"junho 2008","Rio Grande do Sul","Produção (Toneladas)","7776930"
"junho 2008","Mato Grosso do Sul","Área colhida (Hectares)","1731366"
"junho 2008","Mato Grosso do Sul","Produção (Toneladas)","4569461"
"junho 2008","Mato Grosso","Área colhida (Hectares)","5656949"
"junho 2008","Mato Grosso","Produção (Toneladas)","17737789"
"junho 2008","Goiás","Área colhida (Hectares)","2179080"
"junho 2008","Goiás","Produção (Toneladas)","6541280"
"junho 2008","Distrito Federal","Área colhida (Hectares)","48712"
"junho 2008","Distrito Federal","Produção (Toneladas)","153443"
"julho 2008","Rondônia","Área colhida (Hectares)","99206"
"julho 2008","Rondônia","Produção (Toneladas)","311502"
"julho 2008","Acre","Área colhida (Hectares)","-"
"julho 2008","Acre","Produção (Toneladas)","-"
"julho 2008","Amazonas","Área colhida (Hectares)","-"
"julho 2008","Amazonas","Produção (Toneladas)","-"
"julho 2008","Roraima","Área colhida (Hectares)","-"
"julho 2008","Roraima","Produção (Toneladas)","-"
"julho 2008","Pará","Área colhida (Hectares)","57245"
"julho 2008","Pará","Produção (Toneladas)","170063"
"julho 2008","Amapá","Área colhida (Hectares)","-"
"julho 2008","Amapá","Produção (Toneladas)","-"
"julho 2008","Tocantins","Área colhida (Hectares)","328608"
"julho 2008","Tocantins","Produção (Toneladas)","902949"
"julho 2008","Maranhão","Área colhida (Hectares)","421470"
"julho 2008","Maranhão","Produção (Toneladas)","1262560"
"julho 2008","Piauí","Área colhida (Hectares)","253566"
"julho 2008","Piauí","Produção (Toneladas)","821600"
"julho 2008","Ceará","Área colhida (Hectares)","-"
"julho 2008","Ceará","Produção (Toneladas)","-"
"julho 2008","Rio Grande do Norte","Área colhida (Hectares)","-"
"julho 2008","Rio Grande do Norte","Produção (Toneladas)","-"
"julho 2008","Paraíba","Área colhida (Hectares)","-"
"julho 2008","Paraíba","Produção (Toneladas)","-"
"julho 2008","Pernambuco","Área colhida (Hectares)","-"
"julho 2008","Pernambuco","Produção (Toneladas)","-"
"julho 2008","Alagoas","Área colhida (Hectares)","-"
"julho 2008","Alagoas","Produção (Toneladas)","-"
"julho 2008","Sergipe","Área colhida (Hectares)","-"
"julho 2008","Sergipe","Produção (Toneladas)","-"
"julho 2008","Bahia","Área colhida (Hectares)","905018"
